tranche,species,n,D,second_fraction,close_observer_disjoint_pairs_100km,cross_morph_close_pairs_100km,cross_morph_unique_photos_100km,cross_morph_unique_observers_100km,local_cross_rate_100km,local_retention_ratio_100km,close_observer_disjoint_pairs_250km,cross_morph_close_pairs_250km,cross_morph_unique_photos_250km,cross_morph_unique_observers_250km,local_cross_rate_250km,local_retention_ratio_250km,close_observer_disjoint_pairs_500km,cross_morph_close_pairs_500km,cross_morph_unique_photos_500km,cross_morph_unique_observers_500km,local_cross_rate_500km,local_retention_ratio_500km,global_cross_morph_pair_rate,C_star,S_star,segregation_delta_km,segregation_perm_p,organization_state,second_ge_0_20
reserve,Aegiceras corniculatum,41,0.29030339083878653,0.14634146341463414,116,31,32,31,0.2672413793103448,0.8981062747314866,153,50,34,33,0.32679738562091504,1.0982535090538947,182,62,34,33,0.34065934065934067,1.1448387677895875,0.2975609756097561,True,False,-2184.3775511887525,0.93,local_cooccurrence_only,False
reserve,Aliciella latifolia,43,0.2790697674418604,0.13953488372093023,451,99,40,39,0.21951219512195122,0.7682926829268293,523,117,42,41,0.2237093690248566,0.7829827915869981,868,251,43,42,0.2891705069124424,1.0120967741935485,0.2857142857142857,True,True,226.7464946683493,0.022,cooccurrence_and_segregation,False
reserve,Allium scorodoprasum,50,0.6304,0.24,24,17,23,23,0.7083333333333334,1.1011527072758036,101,67,36,36,0.6633663366336634,1.031248429411469,315,214,49,49,0.6793650793650794,1.0561195713479976,0.643265306122449,False,False,-22.248405244812716,0.646,unresolved_photo_state,True
reserve,Allium vineale,42,0.4773242630385487,0.19047619047619047,5,3,5,5,0.6,1.2270783847980997,25,11,14,14,0.44,0.8998574821852732,83,34,26,26,0.40963855421686746,0.8377643590991043,0.4889663182346109,False,False,394.47985160105145,0.17,unresolved_photo_state,False
reserve,Anarrhinum bellidifolium,55,0.5051239669421488,0.2909090909090909,92,33,32,30,0.358695652173913,0.6972029364898703,344,162,47,45,0.47093023255813954,0.9153552295141849,718,373,54,52,0.5194986072423399,1.009758418527323,0.5144781144781144,True,False,-45.03196056735476,0.742,local_cooccurrence_only,True
reserve,Anemone palmata,62,0.22840790842872005,0.11290322580645161,228,51,32,32,0.2236842105263158,0.9635235583263397,549,135,45,44,0.2459016393442623,1.0592255125284737,1279,313,56,54,0.24472243940578578,1.0541460886477014,0.2321523003701745,True,False,-57.68156792324743,0.793,local_cooccurrence_only,False
reserve,Anemone virginiana,57,0.2659279778393353,0.15789473684210525,3,1,2,2,0.3333333333333333,1.2314814814814814,93,23,26,26,0.24731182795698925,0.9136798088410992,326,82,49,49,0.25153374233128833,0.9292774369461486,0.2706766917293233,False,False,61.33533258458124,0.272,unresolved_photo_state,False
reserve,Antennaria racemosa,65,0.24236686390532547,0.12307692307692308,343,99,35,31,0.2886297376093295,1.1725583090379008,848,221,45,40,0.2606132075471698,1.0587411556603774,1766,471,64,56,0.2667044167610419,1.0834866930917326,0.24615384615384617,True,False,-14.793403291422294,0.627,local_cooccurrence_only,False
reserve,Aphyllanthes monspeliensis,76,0.5058864265927977,0.4342105263157895,176,82,61,61,0.4659090909090909,0.9088575695351875,729,367,73,71,0.5034293552812071,0.9820490503432172,1718,876,76,74,0.509895227008149,0.9946621471411531,0.5126315789473684,True,False,5.464885058186269,0.281,local_cooccurrence_only,True
reserve,Aquilegia brevistyla,47,0.4400181077410593,0.2553191489361702,67,34,23,22,0.5074626865671642,1.1287390209446595,173,67,32,30,0.3872832369942196,0.8614262946311758,412,158,42,40,0.38349514563106796,0.8530005193974989,0.4495837187789084,True,False,136.5010814618472,0.113,local_cooccurrence_only,True
reserve,Asclepias curassavica,48,0.21875,0.125,3,2,4,4,0.6666666666666666,2.984126984126984,32,10,12,12,0.3125,1.398809523809524,93,20,16,16,0.21505376344086022,0.9626216077828982,0.22340425531914893,False,False,-127.89956018482826,0.519,unresolved_photo_state,False
reserve,Asclepias purpurascens,50,0.33999999999999986,0.1,22,3,6,6,0.13636363636363635,0.39304812834224595,146,51,31,31,0.3493150684931507,1.0068493150684932,447,161,46,46,0.36017897091722595,1.0381629161731807,0.3469387755102041,False,False,-9.616960251888258,0.543,unresolved_photo_state,False
reserve,Asphodelus albus,43,0.24012979989183347,0.13953488372093023,102,30,23,23,0.29411764705882354,1.1963434022257553,281,85,35,34,0.302491103202847,1.2304030008656344,663,182,43,42,0.27450980392156865,1.1165871754107048,0.24584717607973422,True,False,-71.13349776973155,0.912,local_cooccurrence_only,False
reserve,Astragalus agrestis,41,0.5246876859012493,0.3170731707317073,39,22,16,16,0.5641025641025641,1.0488981917553346,90,50,26,26,0.5555555555555556,1.0330057949105569,172,95,37,37,0.5523255813953488,1.0269999472657279,0.5378048780487805,True,False,97.57490728683138,0.247,local_cooccurrence_only,True
reserve,Bauera rubioides,56,0.3354591836734693,0.125,205,45,36,36,0.21951219512195122,0.6426782899007697,467,109,44,43,0.2334047109207709,0.6833521954714585,805,157,56,55,0.19503105590062111,0.5710034716482063,0.34155844155844156,True,True,422.475700713631,0.001,cooccurrence_and_segregation,False
reserve,Caladenia carnea,44,0.5754132231404958,0.25,45,20,25,24,0.4444444444444444,0.7548374227009774,164,77,44,43,0.4695121951219512,0.7974120944081972,354,178,44,43,0.5028248587570622,0.8539897960218686,0.5887949260042283,True,True,169.92280473160076,0.012,cooccurrence_and_segregation,True
reserve,Calochortus bruneaunis,58,0.2621878715814505,0.15517241379310345,255,66,41,40,0.25882352941176473,0.9701480592236895,718,176,56,55,0.24512534818941503,0.9188031758664468,1487,389,58,57,0.26160053799596505,0.9805571186107261,0.26678765880217786,True,False,17.56658024937326,0.257,local_cooccurrence_only,False
reserve,Calochortus splendens,47,0.5848800362154822,0.19148936170212766,405,232,47,46,0.5728395061728395,0.9585750869548599,786,448,47,46,0.5699745547073791,0.9537809499050725,967,571,47,46,0.5904860392967942,0.9881043474920039,0.5975948196114709,True,False,19.07126618759871,0.191,local_cooccurrence_only,False
