species,inat_taxon_id,family,family_taxon_id,retrieved_taxon_name,retrieved_taxon_rank,retrieval_status,source_url,retrieved_at_utc
Asclepias ovalifolia,47905,Apocynaceae,47362.0,Asclepias ovalifolia,species,ok,https://api.inaturalist.org/v1/taxa/47905,2026-09-10T06:52:49.194305+00:00
Asclepias perennis,120152,Apocynaceae,47362.0,Asclepias perennis,species,ok,https://api.inaturalist.org/v1/taxa/120152,2026-09-10T06:52:49.326826+00:00
Asclepias quadrifolia,129548,Apocynaceae,47362.0,Asclepias quadrifolia,species,ok,https://api.inaturalist.org/v1/taxa/129548,2026-09-10T06:52:49.388464+00:00
Asclepias viridis,60946,Apocynaceae,47362.0,Asclepias viridis,species,ok,https://api.inaturalist.org/v1/taxa/60946,2026-09-10T06:52:49.405473+00:00
Astragalus glycyphyllos,158900,Fabaceae,47122.0,Astragalus glycyphyllos,species,ok,https://api.inaturalist.org/v1/taxa/158900,2026-09-10T06:52:49.414081+00:00
Austroflourensia thurifera,1644302,Asteraceae,47604.0,Austroflourensia thurifera,species,ok,https://api.inaturalist.org/v1/taxa/1644302,2026-09-10T06:52:49.535342+00:00
Baptisia australis,83902,Fabaceae,47122.0,Baptisia australis,species,ok,https://api.inaturalist.org/v1/taxa/83902,2026-09-10T06:52:49.603134+00:00
Baptisia tinctoria,81897,Fabaceae,47122.0,Baptisia tinctoria,species,ok,https://api.inaturalist.org/v1/taxa/81897,2026-09-10T06:52:49.606457+00:00
Barbarea orthoceras,52976,Brassicaceae,47204.0,Barbarea orthoceras,species,ok,https://api.inaturalist.org/v1/taxa/52976,2026-09-10T06:52:49.607797+00:00
Bellis annua,189743,Asteraceae,47604.0,Bellis annua,species,ok,https://api.inaturalist.org/v1/taxa/189743,2026-09-10T06:52:49.709224+00:00
Bidens aristosa,51714,Asteraceae,47604.0,Bidens aristosa,species,ok,https://api.inaturalist.org/v1/taxa/51714,2026-09-10T06:52:49.925544+00:00
Bidens bipinnata,50202,Asteraceae,47604.0,Bidens bipinnata,species,ok,https://api.inaturalist.org/v1/taxa/50202,2026-09-10T06:52:49.967116+00:00
Bidens cernua,75765,Asteraceae,47604.0,Bidens cernua,species,ok,https://api.inaturalist.org/v1/taxa/75765,2026-09-10T06:52:49.971164+00:00
Biscutella laevigata,130492,Brassicaceae,47204.0,Biscutella laevigata,species,ok,https://api.inaturalist.org/v1/taxa/130492,2026-09-10T06:52:49.973054+00:00
Brodiaea coronaria,57126,Asparagaceae,47599.0,Brodiaea coronaria,species,ok,https://api.inaturalist.org/v1/taxa/57126,2026-09-10T06:52:50.152278+00:00
Bryonia alba,159507,Cucurbitaceae,48620.0,Bryonia alba,species,ok,https://api.inaturalist.org/v1/taxa/159507,2026-09-10T06:52:50.183127+00:00
Buddleja davidii,75916,Scrophulariaceae,47151.0,Buddleja davidii,species,ok,https://api.inaturalist.org/v1/taxa/75916,2026-09-10T06:52:50.213121+00:00
Bursaria spinosa,83571,Pittosporaceae,51596.0,Bursaria spinosa,species,ok,https://api.inaturalist.org/v1/taxa/83571,2026-09-10T06:52:50.222384+00:00
